image_id,gene,source_dir
Duodenum_CAB39L_Male_66_2329.jpg,CAB39L,images
Duodenum_CALHM2_Male_54_2562.jpg,CALHM2,images
Duodenum_CALML4_Male_55_1920.jpg,CALML4,images
Duodenum_CARD19_Male_55_1920.jpg,CARD19,images
Duodenum_CARD6_Male_59_1961.jpg,CARD6,images
Duodenum_CASK_Male_84_139.jpg,CASK,images
Duodenum_CASP1_Male_50_1904.jpg,CASP1,images
Duodenum_CASP4_Male_35_3219.jpg,CASP4,images
Duodenum_CASP6_Male_66_2329.jpg,CASP6,images
Duodenum_CASTOR2_Female_67_3479.jpg,CASTOR2,images
Duodenum_CBFA2T3_Female_67_3479.jpg,CBFA2T3,images
Duodenum_CBLB_Female_60_3548.jpg,CBLB,images
Duodenum_CBR3_Female_60_3548.jpg,CBR3,images
Duodenum_CCDC102B_Male_35_3219.jpg,CCDC102B,images
Duodenum_CCDC125_Male_35_3219.jpg,CCDC125,images
Duodenum_CCDC12_Male_55_1920.jpg,CCDC12,images
Duodenum_CCDC159_Female_67_3479.jpg,CCDC159,images
Duodenum_CCDC186_Male_54_2562.jpg,CCDC186,images
Duodenum_CCDC66_Female_61_3614.jpg,CCDC66,images
Duodenum_CCDC68_Female_60_3548.jpg,CCDC68,images
Duodenum_CCDC68_Male_54_2562.jpg,CCDC68,images
Duodenum_CCDC8_Male_55_1920.jpg,CCDC8,images
Duodenum_CCNDBP1_Male_50_1904.jpg,CCNDBP1,images
Duodenum_CCNDBP1_Male_54_2562.jpg,CCNDBP1,images
Duodenum_CCNL2_Male_55_1920.jpg,CCNL2,images
Duodenum_CCNT2_Female_53_3413.jpg,CCNT2,images
Duodenum_CCS_Male_50_1904.jpg,CCS,images
Duodenum_CCZ1_Male_55_1920.jpg,CCZ1,images
Duodenum_CD248_Female_67_3479.jpg,CD248,images
Duodenum_CD9_Female_64_2338.jpg,CD9,images
Duodenum_CDC14A_Male_59_1961.jpg,CDC14A,images
Duodenum_CDC16_Male_50_1904.jpg,CDC16,images
Duodenum_CDC25C_Male_66_2329.jpg,CDC25C,images
Duodenum_CDC42EP3_Male_35_3219.jpg,CDC42EP3,images
Duodenum_CDC42EP4_Male_50_1904.jpg,CDC42EP4,images
Duodenum_CDCA2_Male_59_1961.jpg,CDCA2,images
Duodenum_CDHR5_Male_50_1904.jpg,CDHR5,images
Duodenum_CDK12_Male_54_2562.jpg,CDK12,images
Duodenum_CDK13_Male_55_1920.jpg,CDK13,images
Duodenum_CDK16_Male_50_1904.jpg,CDK16,images
Duodenum_CDK5RAP2_Male_59_1961.jpg,CDK5RAP2,images
Duodenum_CDK5RAP3_Male_50_1904.jpg,CDK5RAP3,images
Duodenum_CDKL1_Female_67_3479.jpg,CDKL1,images
Duodenum_CDKL1_Male_59_1961.jpg,CDKL1,images
Duodenum_CDKL5_Male_66_2329.jpg,CDKL5,images
Duodenum_CDKN2C_Male_66_2329.jpg,CDKN2C,images
Duodenum_CDO1_Female_62_3515.jpg,CDO1,images
Duodenum_CDR2_Male_50_1904.jpg,CDR2,images
Duodenum_CDS1_Male_35_3219.jpg,CDS1,images
Duodenum_CFL1_Male_55_1920.jpg,CFL1,images
Duodenum_CFLAR_Female_60_3548.jpg,CFLAR,images
Duodenum_CGGBP1_Male_55_1920.jpg,CGGBP1,images
Duodenum_CHADL_Male_54_2562.jpg,CHADL,images
Duodenum_CHAF1A_Male_54_2562.jpg,CHAF1A,images
Duodenum_CHAT_Male_59_1961.jpg,CHAT,images
Duodenum_CHCHD1_Male_35_3219.jpg,CHCHD1,images
Duodenum_CHCHD1_Male_55_1920.jpg,CHCHD1,images
Duodenum_CHCHD2_Female_62_3515.jpg,CHCHD2,images
